NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
CIRCULATORY SYSTEM PROCESS%GOBP%GO:0003013	266	109		
GENE EXPRESSION%GOBP%GO:0010467	1608		Rejected!	
REGULATION OF PROTEIN TARGETING%GOBP%GO:1903533	71	61		
AVOIDANCE OF HOST DEFENSES%GOBP%GO:0044413	2		Rejected!	
REGULATION OF ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002822	120	66		
ENDOCARDIUM DEVELOPMENT%GOBP%GO:0003157	8		Rejected!	
G1 TO G0 TRANSITION INVOLVED IN CELL DIFFERENTIATION%GOBP%GO:0070315	2		Rejected!	
REGULATION OF FLAGELLATED SPERM MOTILITY%GOBP%GO:1901317	15		Rejected!	
REPRODUCTIVE SYSTEM DEVELOPMENT%GOBP%GO:0061458	141	71		
VACUOLAR PROTEIN PROCESSING%GOBP%GO:0006624	2		Rejected!	
POSITIVE REGULATION OF PODOSOME ASSEMBLY%GOBP%GO:0071803	7		Rejected!	
POSTSYNAPTIC ENDOCYTOSIS%GOBP%GO:0140239	5		Rejected!	
ACETYL-COA CATABOLIC PROCESS%GOBP%GO:0046356	2		Rejected!	
POSTSYNAPTIC SPECIALIZATION ORGANIZATION%GOBP%GO:0099084	10		Rejected!	
CYCLIC NUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009187	27		Rejected!	
PARACRINE SIGNALING%GOBP%GO:0038001	5		Rejected!	
CRANIOFACIAL SUTURE MORPHOGENESIS%GOBP%GO:0097094	8		Rejected!	
POSITIVE REGULATION OF B CELL CHEMOTAXIS%GOBP%GO:2000538	2		Rejected!	
REGULATION OF MACROPHAGE CYTOKINE PRODUCTION%GOBP%GO:0010935	13		Rejected!	
POSITIVE REGULATION OF VASCULAR PERMEABILITY%GOBP%GO:0043117	7		Rejected!	
POSITIVE REGULATION OF SIGNALING%GOBP%GO:0023056	1498		Rejected!	
NEGATIVE REGULATION OF VCP-NPL4-UFD1 AAA ATPASE COMPLEX ASSEMBLY%GOBP%GO:1904240	1		Rejected!	
REGULATION OF INTERMEDIATE FILAMENT POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0045108	1		Rejected!	
ENTERIC NERVOUS SYSTEM DEVELOPMENT%GOBP%GO:0048484	11		Rejected!	
NEGATIVE REGULATION OF AXONOGENESIS%GOBP%GO:0050771	47	31		
NEGATIVE REGULATION OF PROTEIN COMPLEX DISASSEMBLY%GOBP%GO:0043242	54	43		
REGULATION OF CATALYTIC ACTIVITY%GOBP%GO:0050790	1676		Rejected!	
POSITIVE REGULATION OF MEMORY T CELL DIFFERENTIATION%GOBP%GO:0043382	9		Rejected!	
GANGLIOSIDE METABOLIC PROCESS%GOBP%GO:0001573	24	16		
POSITIVE REGULATION OF ENDOSOME TO PLASMA MEMBRANE PROTEIN TRANSPORT%GOBP%GO:1905751	2		Rejected!	
CARDIAC MUSCLE TISSUE MORPHOGENESIS%GOBP%GO:0055008	43	19		
CHEMICAL HOMEOSTASIS%GOBP%GO:0048878	871		Rejected!	
POSITIVE REGULATION OF CALCIUM-INDEPENDENT CELL-CELL ADHESION%GOBP%GO:0051041	1		Rejected!	
REGULATION OF MRNA BINDING%GOBP%GO:1902415	7		Rejected!	
CELLULAR AMMONIA HOMEOSTASIS%GOBP%GO:0097275	1		Rejected!	
PHOSPHATIDYLGLYCEROL BIOSYNTHETIC PROCESS%GOBP%GO:0006655	10		Rejected!	
FOREBRAIN MORPHOGENESIS%GOBP%GO:0048853	4		Rejected!	
DGTP METABOLIC PROCESS%GOBP%GO:0046070	2		Rejected!	
LONG-CHAIN FATTY ACID IMPORT%GOBP%GO:0044539	8		Rejected!	
CENTRIOLE ELONGATION%GOBP%GO:0061511	2		Rejected!	
POLYURIDYLATION-DEPENDENT MRNA CATABOLIC PROCESS%GOBP%GO:1990074	3		Rejected!	
GLOMERULAR VISCERAL EPITHELIAL CELL MIGRATION%GOBP%GO:0090521	5		Rejected!	
MITOCHONDRIAL TRNA 3'-TRAILER CLEAVAGE, ENDONUCLEOLYTIC%GOBP%GO:0072684	1		Rejected!	
NEGATIVE REGULATION OF NEURAL RETINA DEVELOPMENT%GOBP%GO:0061076	1		Rejected!	
TERMINATION OF MITOCHONDRIAL TRANSCRIPTION%GOBP%GO:0006393	2		Rejected!	
POSITIVE REGULATION OF CALCIDIOL 1-MONOOXYGENASE ACTIVITY%GOBP%GO:0060559	3		Rejected!	
CELLULAR RESPONSE TO INTERLEUKIN-12%GOBP%GO:0071349	48	40		
REGULATION OF CELL PROJECTION ORGANIZATION%GOBP%GO:0031344	516		Rejected!	
ORGANIC CYCLIC COMPOUND CATABOLIC PROCESS%GOBP%GO:1901361	468		Rejected!	
ENTRY INTO HOST CELL%GOBP%GO:0030260	45	35		
NEGATIVE REGULATION OF PEPTIDE SECRETION%GOBP%GO:0002792	45	24		
AGE-DEPENDENT RESPONSE TO OXIDATIVE STRESS%GOBP%GO:0001306	1		Rejected!	
APOPTOTIC MITOCHONDRIAL CHANGES%GOBP%GO:0008637	47	42		
POSITIVE REGULATION OF EPINEPHRINE SECRETION%GOBP%GO:0032812	2		Rejected!	
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO CILIUM%GOBP%GO:1903566	5		Rejected!	
HEME METABOLIC PROCESS%GOBP%GO:0042168	37	26		
REGULATION OF SPINDLE CHECKPOINT%GOBP%GO:0090231	15		Rejected!	
RESPONSE TO NITRIC OXIDE%GOBP%GO:0071731	13		Rejected!	
POSITIVE REGULATION OF ACTIVATION OF MEMBRANE ATTACK COMPLEX%GOBP%GO:0001970	1		Rejected!	
MRNA CIS SPLICING, VIA SPLICEOSOME%GOBP%GO:0045292	16	15		
PROTEIN FOLDING IN ENDOPLASMIC RETICULUM%GOBP%GO:0034975	12		Rejected!	
MAST CELL ACTIVATION%GOBP%GO:0045576	11		Rejected!	
INTESTINAL LIPID CATABOLIC PROCESS%GOBP%GO:0044258	1		Rejected!	
METANEPHRIC MESENCHYME MORPHOGENESIS%GOBP%GO:0072133	1		Rejected!	
STEROID HORMONE MEDIATED SIGNALING PATHWAY%GOBP%GO:0043401	50	37		
[2FE-2S] CLUSTER ASSEMBLY%GOBP%GO:0044571	4		Rejected!	
CARDIAC MUSCLE CELL ACTION POTENTIAL INVOLVED IN CONTRACTION%GOBP%GO:0086002	36		Rejected!	
POSITIVE REGULATION OF PROTEIN ACTIVATION CASCADE%GOBP%GO:2000259	3		Rejected!	
POSITIVE REGULATION OF AORTIC SMOOTH MUSCLE CELL DIFFERENTIATION%GOBP%GO:1904831	2		Rejected!	
CATECHOLAMINE UPTAKE%GOBP%GO:0090493	8		Rejected!	
REGULATION OF GASTRULATION%GOBP%GO:0010470	34	17		
NEGATIVE REGULATION OF INSULIN SECRETION%GOBP%GO:0046676	17		Rejected!	
NEGATIVE REGULATION OF PROTEASOMAL PROTEIN CATABOLIC PROCESS%GOBP%GO:1901799	49	40		
PLASMA LIPOPROTEIN PARTICLE CLEARANCE%GOBP%GO:0034381	39	24		
POSITIVE REGULATION OF TRANSCRIPTION INITIATION FROM RNA POLYMERASE II PROMOTER%GOBP%GO:0060261	23	20		
RESPONSE TO SORBITOL%GOBP%GO:0072708	3		Rejected!	
POSITIVE REGULATION OF CARDIAC EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0062043	7		Rejected!	
L-LYSINE METABOLIC PROCESS%GOBP%GO:0046440	1		Rejected!	
PROTEIN IMPORT INTO MITOCHONDRIAL MATRIX%GOBP%GO:0030150	19	15		
ALTERNATIVE MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0000380	18		Rejected!	
SNARE COMPLEX DISASSEMBLY%GOBP%GO:0035494	3		Rejected!	
RNA SPLICING, VIA ENDONUCLEOLYTIC CLEAVAGE AND LIGATION%GOBP%GO:0000394	16	15		
CELLULAR RESPONSE TO MURAMYL DIPEPTIDE%GOBP%GO:0071225	9		Rejected!	
REGULATION OF GLIAL CELL DIFFERENTIATION%GOBP%GO:0045685	35	20		
REGULATION OF BLOOD COAGULATION, INTRINSIC PATHWAY%GOBP%GO:2000266	5		Rejected!	
ACYLGLYCEROL BIOSYNTHETIC PROCESS%GOBP%GO:0046463	26		Rejected!	
NEGATIVE REGULATION OF CELLULAR RESPONSE TO OXIDATIVE STRESS%GOBP%GO:1900408	36	27		
SKELETAL MUSCLE TISSUE GROWTH%GOBP%GO:0048630	3		Rejected!	
REGULATION OF ANATOMICAL STRUCTURE SIZE%GOBP%GO:0090066	349		Rejected!	
MITRAL VALVE MORPHOGENESIS%GOBP%GO:0003183	9		Rejected!	
DENDRITE DEVELOPMENT%GOBP%GO:0016358	64	42		
SECONDARY HEART FIELD SPECIFICATION%GOBP%GO:0003139	5		Rejected!	
INTRAMEMBRANOUS OSSIFICATION%GOBP%GO:0001957	1		Rejected!	
TENDON DEVELOPMENT%GOBP%GO:0035989	2		Rejected!	
REGULATION OF CARDIAC MUSCLE CELL ACTION POTENTIAL%GOBP%GO:0098901	31	25		
REGULATION OF MESODERMAL CELL DIFFERENTIATION%GOBP%GO:1905770	4		Rejected!	
POSITIVE REGULATION OF GLIOGENESIS%GOBP%GO:0014015	34	18		
MUSCLE HYPERTROPHY%GOBP%GO:0014896	13		Rejected!	
IRON ION IMPORT%GOBP%GO:0097286	3		Rejected!	
ENZYME LINKED RECEPTOR PROTEIN SIGNALING PATHWAY%GOBP%GO:0007167	616		Rejected!	
REGULATION OF COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY%GOBP%GO:0030451	3		Rejected!	
NEGATIVE REGULATION OF BLOOD COAGULATION%GOBP%GO:0030195	47	17		
MESODERMAL CELL DIFFERENTIATION%GOBP%GO:0048333	15		Rejected!	
NEGATIVE REGULATION OF LIPID KINASE ACTIVITY%GOBP%GO:0090219	8		Rejected!	
GO ID NOT FOUND IN OBO FILE ONTOLOGY DEFINITIONS%GOBP%GO:0120197	2		Rejected!	
POSITIVE REGULATION OF POLYAMINE TRANSMEMBRANE TRANSPORT%GOBP%GO:1902269	2		Rejected!	
PEPTIDYL-PROLINE MODIFICATION%GOBP%GO:0018208	42	30		
GAMMA-AMINOBUTYRIC ACID TRANSPORT%GOBP%GO:0015812	6		Rejected!	
REGULATION OF DNA ENDOREDUPLICATION%GOBP%GO:0032875	3		Rejected!	
POSITIVE REGULATION OF ESTABLISHMENT OF T CELL POLARITY%GOBP%GO:1903905	2		Rejected!	
POSITIVE REGULATION OF ERYTHROCYTE DIFFERENTIATION%GOBP%GO:0045648	26	22		
INTESTINAL EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0060575	9		Rejected!	
NUCLEAR MIGRATION%GOBP%GO:0007097	14		Rejected!	
RNA POLYMERASE I PREINITIATION COMPLEX ASSEMBLY%GOBP%GO:0001188	2		Rejected!	
SUPPRESSION OF DEFENSE RESPONSE OF OTHER ORGANISM INVOLVED IN SYMBIOTIC INTERACTION%GOBP%GO:0052261	1		Rejected!	
VASOCONSTRICTION%GOBP%GO:0042310	11		Rejected!	
REGULATION OF G2/MI TRANSITION OF MEIOTIC CELL CYCLE%GOBP%GO:0110030	3		Rejected!	
REGULATION OF CARBOHYDRATE BIOSYNTHETIC PROCESS%GOBP%GO:0043255	65	44		
SYNAPTIC VESICLE MEMBRANE ORGANIZATION%GOBP%GO:0048499	4		Rejected!	
CELLULAR RESPONSE TO FRUCTOSE STIMULUS%GOBP%GO:0071332	3		Rejected!	
NEUROPEPTIDE SIGNALING PATHWAY%GOBP%GO:0007218	65		Rejected!	
NEGATIVE REGULATION OF MUSCLE TISSUE DEVELOPMENT%GOBP%GO:1901862	25		Rejected!	
RENAL SYSTEM VASCULATURE DEVELOPMENT%GOBP%GO:0061437	14		Rejected!	
ESOPHAGUS SMOOTH MUSCLE CONTRACTION%GOBP%GO:0014846	2		Rejected!	
POSITIVE REGULATION OF EPITHELIAL CELL APOPTOTIC PROCESS%GOBP%GO:1904037	23		Rejected!	
REGULATION OF TRANSFORMING GROWTH FACTOR BETA PRODUCTION%GOBP%GO:0071634	29	24		
WHITE FAT CELL DIFFERENTIATION%GOBP%GO:0050872	7		Rejected!	
POSITIVE REGULATION OF DOUBLE-STRAND BREAK REPAIR%GOBP%GO:2000781	41	28		
REGULATION OF AMPA RECEPTOR ACTIVITY%GOBP%GO:2000311	26		Rejected!	
AUTOPHAGY%GOBP%GO:0006914	223	197		
CYTOLYSIS BY HOST OF SYMBIONT CELLS%GOBP%GO:0051838	9		Rejected!	
REGULATION OF CELLULAR KETONE METABOLIC PROCESS%GOBP%GO:0010565	158	123		
MEMBRANE LIPID CATABOLIC PROCESS%GOBP%GO:0046466	34	24		
CDC42 PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0032488	7		Rejected!	
POSITIVE REGULATION OF POSITIVE CHEMOTAXIS%GOBP%GO:0050927	17		Rejected!	
FERROUS IRON TRANSPORT%GOBP%GO:0015684	1		Rejected!	
GLYCOSYLCERAMIDE METABOLIC PROCESS%GOBP%GO:0006677	15		Rejected!	
REGULATION OF CARDIAC ENDOTHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0061999	1		Rejected!	
REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO OSMOTIC STRESS%GOBP%GO:1902218	3		Rejected!	
MODIFICATION OF DENDRITIC SPINE%GOBP%GO:0098886	2		Rejected!	
HISTONE H2A-K13 UBIQUITINATION%GOBP%GO:0036351	1		Rejected!	
NEGATIVE REGULATION OF B CELL PROLIFERATION%GOBP%GO:0030889	12		Rejected!	
SPERM MOTILITY%GOBP%GO:0097722	57	29		
P38MAPK CASCADE%GOBP%GO:0038066	5		Rejected!	
POSITIVE REGULATION OF HISTAMINE SECRETION BY MAST CELL%GOBP%GO:1903595	4		Rejected!	
RETROGRADE TRANS-SYNAPTIC SIGNALING BY ENDOCANNABINOID%GOBP%GO:0098921	2		Rejected!	
CHORIONIC TROPHOBLAST CELL DIFFERENTIATION%GOBP%GO:0060718	2		Rejected!	
MUSCLE TISSUE MORPHOGENESIS%GOBP%GO:0060415	48	24		
NEGATIVE REGULATION OF TRANSLATIONAL FRAMESHIFTING%GOBP%GO:2001125	1		Rejected!	
REGULATION OF OSTEOBLAST DIFFERENTIATION%GOBP%GO:0045667	82	54		
RESPONSE TO FRUCTOSE%GOBP%GO:0009750	5		Rejected!	
GLYCINE BIOSYNTHETIC PROCESS%GOBP%GO:0006545	4		Rejected!	
OLFACTORY BULB INTERNEURON DEVELOPMENT%GOBP%GO:0021891	6		Rejected!	
BEHAVIORAL DEFENSE RESPONSE%GOBP%GO:0002209	6		Rejected!	
REGULATION OF PROTEIN TYROSINE PHOSPHATASE ACTIVITY%GOBP%GO:1903613	4		Rejected!	
NEGATIVE REGULATION OF LAMELLIPODIUM ORGANIZATION%GOBP%GO:1902744	6		Rejected!	
TRNA WOBBLE ADENOSINE TO INOSINE EDITING%GOBP%GO:0002100	1		Rejected!	
NEURAL FOLD FORMATION%GOBP%GO:0001842	3		Rejected!	
POSITIVE REGULATION OF COAGULATION%GOBP%GO:0050820	23	16		
DISACCHARIDE CATABOLIC PROCESS%GOBP%GO:0046352	1		Rejected!	
POSITIVE REGULATION OF EPITHELIAL TUBE FORMATION%GOBP%GO:1905278	7		Rejected!	
NEGATIVE REGULATION OF CELL KILLING%GOBP%GO:0031342	21		Rejected!	
OLFACTORY BULB DEVELOPMENT%GOBP%GO:0021772	15		Rejected!	
VENTRICULAR CARDIAC MUSCLE CELL ACTION POTENTIAL%GOBP%GO:0086005	18		Rejected!	
RESPONSE TO THYROTROPIN-RELEASING HORMONE%GOBP%GO:1905225	1		Rejected!	
REGULATION OF CENTROSOME DUPLICATION%GOBP%GO:0010824	42	36		
METANEPHRIC GLOMERULUS MORPHOGENESIS%GOBP%GO:0072275	3		Rejected!	
PEPTIDYL-HISTIDINE HYDROXYLATION%GOBP%GO:0036138	1		Rejected!	
RESPONSE TO ACID CHEMICAL%GOBP%GO:0001101	155	97		
CELLULAR NITROGEN COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0044271	1299		Rejected!	
CELL CYCLE ARREST%GOBP%GO:0007050	117	100		
POSITIVE REGULATION OF PROTEIN PHOSPHORYLATION%GOBP%GO:0001934	845		Rejected!	
DNA REPLICATION, OKAZAKI FRAGMENT PROCESSING%GOBP%GO:0033567	5		Rejected!	
POSITIVE REGULATION OF TELOMERIC DNA BINDING%GOBP%GO:1904744	2		Rejected!	
NUCLEAR MIGRATION ALONG MICROTUBULE%GOBP%GO:0030473	1		Rejected!	
ACTIN POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0008154	50	41		
GAMMA-AMINOBUTYRIC ACID CATABOLIC PROCESS%GOBP%GO:0009450	2		Rejected!	
HISTAMINE BIOSYNTHETIC PROCESS%GOBP%GO:0001694	2		Rejected!	
PHOTORECEPTOR CELL DEVELOPMENT%GOBP%GO:0042461	23		Rejected!	
REGULATION OF HEMATOPOIETIC STEM CELL PROLIFERATION%GOBP%GO:1902033	6		Rejected!	
REGULATION OF ATP CITRATE SYNTHASE ACTIVITY%GOBP%GO:2000983	1		Rejected!	
POSITIVE REGULATION OF CIRCADIAN RHYTHM%GOBP%GO:0042753	12		Rejected!	
PYRUVATE TRANSPORT%GOBP%GO:0006848	4		Rejected!	
REGULATION OF NUCLEOSIDE TRANSPORT%GOBP%GO:0032242	1		Rejected!	
POSITIVE REGULATION OF GLUCOKINASE ACTIVITY%GOBP%GO:0033133	2		Rejected!	
NEGATIVE REGULATION OF I-KAPPAB KINASE/NF-KAPPAB SIGNALING%GOBP%GO:0043124	40	31		
NEGATIVE REGULATION OF MESODERMAL CELL DIFFERENTIATION%GOBP%GO:1905771	2		Rejected!	
OXIDATIVE SINGLE-STRANDED DNA DEMETHYLATION%GOBP%GO:0035552	3		Rejected!	
POSITIVE REGULATION OF ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0046638	36	22		
RECOGNITION OF APOPTOTIC CELL%GOBP%GO:0043654	4		Rejected!	
MODIFICATION-DEPENDENT MACROMOLECULE CATABOLIC PROCESS%GOBP%GO:0043632	462		Rejected!	
CELL DEDIFFERENTIATION%GOBP%GO:0043697	3		Rejected!	
THREONYL-TRNA AMINOACYLATION%GOBP%GO:0006435	3		Rejected!	
MONOSACCHARIDE BIOSYNTHETIC PROCESS%GOBP%GO:0046364	47	36		
NEGATIVE REGULATION OF DENDRITE MORPHOGENESIS%GOBP%GO:0050774	7		Rejected!	
MORPHOGENESIS OF A BRANCHING EPITHELIUM%GOBP%GO:0061138	52	29		
REGULATION OF ANGIOTENSIN-ACTIVATED SIGNALING PATHWAY%GOBP%GO:0110061	2		Rejected!	
SEMICIRCULAR CANAL FORMATION%GOBP%GO:0060876	1		Rejected!	
REGULATION OF MATRIX METALLOPEPTIDASE SECRETION%GOBP%GO:1904464	4		Rejected!	
NEGATIVE REGULATION OF T-CIRCLE FORMATION%GOBP%GO:1904430	3		Rejected!	
POSITIVE REGULATION OF MAST CELL CHEMOTAXIS%GOBP%GO:0060754	5		Rejected!	
DAMP CATABOLIC PROCESS%GOBP%GO:0046059	2		Rejected!	
REGULATION OF CILIUM ASSEMBLY%GOBP%GO:1902017	71	60		
FRUCTOSE METABOLIC PROCESS%GOBP%GO:0006000	10		Rejected!	
RESPONSE TO DITHIOTHREITOL%GOBP%GO:0072720	2		Rejected!	
REPLICATION FORK PROTECTION%GOBP%GO:0048478	8		Rejected!	
CELL CHEMOTAXIS TO VASCULAR ENDOTHELIAL GROWTH FACTOR%GOBP%GO:0090667	1		Rejected!	
POSITIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, TERMINATION%GOBP%GO:0060566	1		Rejected!	
NEGATIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION, ELONGATION%GOBP%GO:0032785	14		Rejected!	
PROTEIN MODIFICATION PROCESS%GOBP%GO:0036211	2675		Rejected!	
REGULATION OF FRUCTOSE 1,6-BISPHOSPHATE 1-PHOSPHATASE ACTIVITY%GOBP%GO:0060549	1		Rejected!	
CAAX-BOX PROTEIN MATURATION%GOBP%GO:0080120	3		Rejected!	
POSITIVE REGULATION OF PHOSPHOLIPID TRANSPORT%GOBP%GO:2001140	11		Rejected!	
RETROGRADE TRANS-SYNAPTIC SIGNALING BY LIPID%GOBP%GO:0098920	2		Rejected!	
REGULATION OF ACROSOMAL VESICLE EXOCYTOSIS%GOBP%GO:2000367	3		Rejected!	
REGULATION OF RENAL WATER TRANSPORT%GOBP%GO:2001151	1		Rejected!	
NEGATIVE REGULATION OF P38MAPK CASCADE%GOBP%GO:1903753	6		Rejected!	
CYTIDINE DEAMINATION%GOBP%GO:0009972	4		Rejected!	
ANATOMICAL STRUCTURE FORMATION INVOLVED IN MORPHOGENESIS%GOBP%GO:0048646	496		Rejected!	
FARNESYL DIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0045337	3		Rejected!	
THREONINE CATABOLIC PROCESS%GOBP%GO:0006567	5		Rejected!	
NEGATIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009968	1063		Rejected!	
POSITIVE REGULATION OF ACTIVATED T CELL PROLIFERATION%GOBP%GO:0042104	20		Rejected!	
POSTSYNAPTIC MEMBRANE ASSEMBLY%GOBP%GO:0097104	9		Rejected!	
REGULATION OF MHC CLASS II BIOSYNTHETIC PROCESS%GOBP%GO:0045346	12		Rejected!	
MYELOID DENDRITIC CELL DIFFERENTIATION%GOBP%GO:0043011	10		Rejected!	
REGULATION OF CELLULAR RESPONSE TO MACROPHAGE COLONY-STIMULATING FACTOR STIMULUS%GOBP%GO:1903972	5		Rejected!	
AXON DEVELOPMENT%GOBP%GO:0061564	296	184		
THIAMINE PYROPHOSPHATE TRANSMEMBRANE TRANSPORT%GOBP%GO:0030974	2		Rejected!	
REGULATION OF TELOMERE MAINTENANCE VIA TELOMERASE%GOBP%GO:0032210	52	46		
POSITIVE REGULATION OF SIGNAL TRANSDUCTION%GOBP%GO:0009967	1392		Rejected!	
CYCLIC-NUCLEOTIDE-MEDIATED SIGNALING%GOBP%GO:0019935	153	53		
RECEPTOR TRANSACTIVATION%GOBP%GO:0035624	5		Rejected!	
OUTER EAR MORPHOGENESIS%GOBP%GO:0042473	3		Rejected!	
PLATELET ALPHA GRANULE ORGANIZATION%GOBP%GO:0070889	1		Rejected!	
NEGATIVE REGULATION OF NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0030812	10		Rejected!	
NEGATIVE REGULATION OF BROWN FAT CELL DIFFERENTIATION%GOBP%GO:1903444	1		Rejected!	
POSITIVE REGULATION OF CELLULAR COMPONENT ORGANIZATION%GOBP%GO:0051130	1060		Rejected!	
TYPE B PANCREATIC CELL PROLIFERATION%GOBP%GO:0044342	6		Rejected!	
MICROTUBULE-BASED PROCESS%GOBP%GO:0007017	683		Rejected!	
PROTEIN DESUMOYLATION%GOBP%GO:0016926	7		Rejected!	
POSITIVE REGULATION OF MITOTIC CENTROSOME SEPARATION%GOBP%GO:0046604	3		Rejected!	
S-ADENOSYLMETHIONINE METABOLIC PROCESS%GOBP%GO:0046500	11		Rejected!	
HISTONE H3-R17 METHYLATION%GOBP%GO:0034971	2		Rejected!	
NAD TRANSPORT%GOBP%GO:0043132	2		Rejected!	
GLYCEROL ETHER BIOSYNTHETIC PROCESS%GOBP%GO:0046504	6		Rejected!	
REGULATION OF MEIOTIC DNA DOUBLE-STRAND BREAK FORMATION%GOBP%GO:1903341	1		Rejected!	
POSITIVE REGULATION OF MEIOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901995	3		Rejected!	
PRONUCLEAR FUSION%GOBP%GO:0007344	1		Rejected!	
MITOTIC SPINDLE ORGANIZATION%GOBP%GO:0007052	159	130		
LYSINE TRANSPORT%GOBP%GO:0015819	2		Rejected!	
RESPONSE TO LIGHT INTENSITY%GOBP%GO:0009642	1		Rejected!	
NEGATIVE REGULATION OF CD8-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0043377	2		Rejected!	
INTERMEMBRANE LIPID TRANSFER%GOBP%GO:0120009	8		Rejected!	
POSTSYNAPTIC NEUROTRANSMITTER RECEPTOR INTERNALIZATION%GOBP%GO:0098884	5		Rejected!	
POSITIVE REGULATION OF CHROMOSOME ORGANIZATION%GOBP%GO:2001252	165	140		
HEXITOL METABOLIC PROCESS%GOBP%GO:0006059	1		Rejected!	
MRNA MODIFICATION%GOBP%GO:0016556	23	22		
POSITIVE REGULATION OF NEUROMUSCULAR JUNCTION DEVELOPMENT%GOBP%GO:1904398	3		Rejected!	
XENOPHAGY%GOBP%GO:0098792	2		Rejected!	
MONOTERPENOID METABOLIC PROCESS%GOBP%GO:0016098	6		Rejected!	
PYRIDOXAL 5'-PHOSPHATE SALVAGE%GOBP%GO:0009443	1		Rejected!	
FATTY ACID BETA-OXIDATION%GOBP%GO:0006635	51	47		
RESPONSE TO PROSTAGLANDIN D%GOBP%GO:0071798	3		Rejected!	
SECRETORY COLUMNAL LUMINAR EPITHELIAL CELL DIFFERENTIATION INVOLVED IN PROSTATE GLANDULAR ACINUS DEVELOPMENT%GOBP%GO:0060528	1		Rejected!	
FASCICULATION OF SENSORY NEURON AXON%GOBP%GO:0097155	3		Rejected!	
EPITHELIAL CELL DIFFERENTIATION INVOLVED IN KIDNEY DEVELOPMENT%GOBP%GO:0035850	25	17		
CELLULAR RESPONSE TO ABIOTIC STIMULUS%GOBP%GO:0071214	230	173		
EXOCRINE PANCREAS DEVELOPMENT%GOBP%GO:0031017	2		Rejected!	
TRABECULA FORMATION%GOBP%GO:0060343	8		Rejected!	
REGULATION OF CELL KILLING%GOBP%GO:0031341	90	45		
HOMOLOGOUS RECOMBINATION%GOBP%GO:0035825	53	27		
MICTURITION%GOBP%GO:0060073	4		Rejected!	
MEIOSIS I%GOBP%GO:0007127	93	42		
ENDOPLASMIC RETICULUM STRESS-INDUCED PRE-EMPTIVE QUALITY CONTROL%GOBP%GO:0061857	2		Rejected!	
POSITIVE REGULATION OF GTP BINDING%GOBP%GO:1904426	2		Rejected!	
PROTEIN LOCALIZATION TO NUCLEAR PORE%GOBP%GO:0090204	1		Rejected!	
MULTIVESICULAR BODY SORTING PATHWAY%GOBP%GO:0071985	37	33		
SNORNA SPLICING%GOBP%GO:0034247	2		Rejected!	
POSITIVE REGULATION OF RESPIRATORY BURST%GOBP%GO:0060267	9		Rejected!	
GLUCOCORTICOID RECEPTOR SIGNALING PATHWAY%GOBP%GO:0042921	4		Rejected!	
NEUTROPHIL AGGREGATION%GOBP%GO:0070488	2		Rejected!	
CELLULAR RESPONSE TO HIGH DENSITY LIPOPROTEIN PARTICLE STIMULUS%GOBP%GO:0071403	1		Rejected!	
PHAGOCYTOSIS, ENGULFMENT%GOBP%GO:0006911	122	24		
REGULATION OF BLOOD VESSEL DIAMETER BY RENIN-ANGIOTENSIN%GOBP%GO:0002034	3		Rejected!	
LEUKOTRIENE B4 CATABOLIC PROCESS%GOBP%GO:0036101	4		Rejected!	
NEGATIVE REGULATION OF NODAL SIGNALING PATHWAY%GOBP%GO:1900108	4		Rejected!	
PROTEIN O-GLCNACYLATION VIA THREONINE%GOBP%GO:0097370	1		Rejected!	
NEGATIVE REGULATION OF OSTEOBLAST PROLIFERATION%GOBP%GO:0033689	8		Rejected!	
RESPONSE TO WATER%GOBP%GO:0009415	3		Rejected!	
CENP-A CONTAINING NUCLEOSOME ASSEMBLY%GOBP%GO:0034080	30	20		
